name,email,password,gender,mobile,tag
James Gibson,adamwalker@johns.com,MDKfp8TP,Male,001-947-764-1852x464,"['No Pets', 'No Pets', 'Cats OK', 'Public Traffic', 'Furnished']"
Deborah Hartman,hsteele@gmail.com,wK8rzt4U,Female,101-333-0714x46779,"['Dogs Ok', 'Parking', 'Wheelchair Access', 'Quiet']"
Timothy Tucker,kimberly66@hotmail.com,Pm7IcoVC,Female,2460191121,"['Quiet', 'Dogs Ok', 'Cats OK', 'Quiet']"
Melissa English DVM,thompsonmaria@yahoo.com,cHvqZb8h,Male,270-776-3452,"['Public Traffic', 'Laundry', 'Cats OK']"
George Acosta,qdunn@glass.com,hTmTw5AA,Female,5200982639,"['Furnished', 'Public Traffic']"
Miss Melissa Reed,simmonschristina@barrett.biz,wfIt9a1d,Male,(878)432-7434,"['Dogs Ok', 'Parking']"
Benjamin Hernandez,christophersmith@miller.com,5dwoAmIe,Male,+1-420-541-2473x427,"['Wheelchair Access', 'Quiet', 'Dogs Ok', 'Cats OK', 'No Pets', 'Wheelchair Access']"
Phillip Gomez,jeffreystanley@gmail.com,P8NxB4zb,Female,409.717.9859x1675,['Parking']
Catherine Garcia,wendy72@yahoo.com,EWCJa8eC,Male,001-669-341-1735x157,['Laundry']
Adam Baird,laurabrown@martin-powell.com,O2X97It7,Female,(235)438-3647,['Quiet']
Blake Reyes,jamie50@wells-ramirez.com,KWcnEJHV,Female,208.477.9033x3350,"['Laundry', 'Wheelchair Access', 'Quiet', 'Quiet', 'Public Traffic', 'Dogs Ok']"
Mary Mendoza,david91@yahoo.com,fOCFlXVB,Female,(077)473-8343,"['Public Traffic', 'Public Traffic', 'Parking', 'Laundry']"
Ryan Dorsey,piercephillip@james-carpenter.com,QaTBTLHz,Male,774-853-7311,"['Cats OK', 'Laundry', 'Public Traffic', 'Cats OK']"
David Conley,cherylnichols@yahoo.com,GZAjmP95,Female,2566128171,"['Furnished', 'Quiet', 'Laundry']"
Jennifer Johnson,bhunter@hotmail.com,kxDZO8Py,Male,001-280-163-4394x659,"['Parking', 'Parking', 'Quiet', 'Quiet', 'Parking']"
Kristina Ellis,mcleananthony@hotmail.com,T8DdewQR,Female,527-451-6909x2042,"['Laundry', 'Public Traffic', 'No Pets', 'Dogs Ok']"
John Sawyer,vking@hotmail.com,DqbK7Wck,Female,(741)226-3656x572,"['Cats OK', 'Quiet']"
Thomas Meyer,mark97@hotmail.com,ohw9slLZ,Male,481.021.1116x207,"['Quiet', 'Dogs Ok', 'Laundry', 'Wheelchair Access']"
Gloria Hernandez,griffingary@yahoo.com,a9G30Yan,Male,001-872-499-9555x32377,"['Wheelchair Access', 'Quiet', 'Cats OK', 'Parking', 'Parking']"
Margaret Lindsey,christopher12@solis.com,Mn1yzEXu,Male,(564)336-8443x415,['No Pets']
Anthony Miller,matthew99@johnson-ramirez.com,yPEeSg8s,Male,(539)607-2208,"['Furnished', 'Public Traffic', 'Furnished', 'No Pets', 'Wheelchair Access']"
Michele Peterson,kathyanderson@yahoo.com,lPp283zV,Male,(509)447-8325x466,"['Wheelchair Access', 'Laundry', 'No Smoking', 'No Smoking', 'Parking']"
Thomas Lang,judith51@campbell-kline.com,QnvYHoxv,Male,001-588-647-5959x317,"['Public Traffic', 'Laundry', 'Public Traffic', 'Cats OK', 'No Smoking']"
Hunter Hopkins,hjones@yahoo.com,lAvraKCo,Female,139-702-6489,"['No Smoking', 'Wheelchair Access', 'Furnished', 'Laundry', 'Laundry', 'Laundry']"
Edward Williams,carolynthomas@mendoza.com,CkJ5jOkb,Female,349-945-0993x29442,"['Parking', 'Quiet', 'Cats OK', 'Cats OK', 'Dogs Ok', 'Wheelchair Access']"
Terry Hernandez,brownangela@wagner-george.com,TAhdmRYm,Male,(336)378-1228x3868,"['Wheelchair Access', 'Laundry', 'No Pets', 'Wheelchair Access']"
Kimberly Davis,hernandezlaura@mullins-harrington.net,F8b2gfot,Male,+1-017-128-8435,['Laundry']
Brady Jones,kylehoffman@yahoo.com,xggdAOXT,Female,8053934164,['Cats OK']
Alexandra Brown,kimberly82@gmail.com,K77k1fVm,Male,+1-019-523-5035x54638,"['Laundry', 'Dogs Ok', 'Public Traffic', 'Quiet', 'Public Traffic']"
Veronica Smith,barbarawatkins@hotmail.com,qUxw9vbs,Male,+1-696-657-6857,"['Wheelchair Access', 'No Pets', 'Parking', 'Public Traffic', 'Quiet']"
Rachel Henry,byrdmarissa@hotmail.com,XGBFtbGy,Female,001-017-382-0856x21382,"['Wheelchair Access', 'No Pets', 'Laundry', 'Cats OK', 'Wheelchair Access']"
Jasmine Lara,vperry@pittman.com,tfH1FCAi,Female,+1-742-259-8307x46543,"['Wheelchair Access', 'Wheelchair Access']"
Rebecca Scott,william27@yahoo.com,hdXtwgJj,Female,(286)911-8186x3369,['Quiet']
Shirley Payne,greencourtney@bentley.com,6eMlhsL4,Male,910.367.3987x681,"['Public Traffic', 'Wheelchair Access', 'Dogs Ok', 'No Smoking', 'No Smoking']"
John Jones,nle@perry.com,T7WYHFrS,Female,+1-511-459-5584x0184,['Public Traffic']
Sarah Lee,mcdonaldrichard@gmail.com,SZGQ06H7,Male,497-580-5313x15834,"['Public Traffic', 'Public Traffic', 'Parking']"
Jennifer Johnson,bhernandez@perez-fletcher.com,HXOOrsGV,Female,5388935760,"['Cats OK', 'No Smoking', 'Laundry']"
Ryan Hill,shannondavis@gates.com,vy8yAZbo,Female,(399)894-6617,['Wheelchair Access']
Joshua Reid,diana00@matthews.biz,LZi0hfr0,Female,1555499782,"['No Pets', 'Laundry']"
Amy Guerra,staffordcheryl@shaw-solomon.org,J1C3Rmut,Male,372.709.7166x02799,"['Dogs Ok', 'Public Traffic']"
Calvin Taylor,ocarter@davis.info,wunWrZz3,Male,1859371113,['No Pets']
Jessica Rojas,roberto69@romero.com,inK9c5m0,Male,(998)019-1571,"['Parking', 'Laundry', 'Laundry', 'Public Traffic']"
William Brown,brandi62@yahoo.com,tPqg6bNP,Male,001-628-408-8841x078,['Furnished']
Dan Webb,duaneroman@hotmail.com,Vs1VCrmy,Male,417.106.4341x1105,['Quiet']
Alexis Martin,dustin46@yahoo.com,eh5JdK8f,Female,288.045.6874x77852,"['No Pets', 'Quiet']"
Eric Kirk,hgibson@smith.biz,6z0N182X,Male,774.984.3975x8020,"['Laundry', 'Public Traffic', 'Dogs Ok', 'Parking']"
Stephanie Ward,kevinsullivan@yahoo.com,HIf9N4gg,Male,779.275.7705,"['Dogs Ok', 'No Smoking', 'No Pets', 'No Pets', 'Public Traffic']"
Kenneth Griffin,robert90@hotmail.com,hUc956nK,Male,+1-352-131-7836x2477,['Quiet']
Karen Parrish,toddsanders@mitchell-stark.com,XHHuNDMs,Female,(937)295-8260x8785,"['No Pets', 'No Pets', 'Laundry', 'No Smoking', 'No Smoking']"
Scott Valdez,ybrown@young.com,2XsV87PK,Female,+1-537-948-2783x15869,"['Quiet', 'Furnished', 'Furnished', 'Public Traffic', 'Laundry']"
Jennifer Barber,kevinashley@hotmail.com,e1SI01h5,Female,001-873-440-9398x78743,"['Wheelchair Access', 'Cats OK']"
Samantha Roberts,holly89@hall.net,qUBCumcQ,Male,593-778-8311,"['Furnished', 'No Pets', 'No Smoking', 'Furnished', 'Parking', 'Quiet']"
Matthew Briggs,wrightmadeline@yahoo.com,QYR9lKJu,Female,064.461.2143x6966,"['Laundry', 'Cats OK', 'Cats OK', 'No Smoking', 'Furnished']"
Kimberly Black DDS,sanchezkaren@ayala.biz,bGfxfNkO,Female,694.462.5280x95028,"['Quiet', 'Dogs Ok', 'Cats OK', 'Wheelchair Access', 'Public Traffic']"
Valerie Jackson,carterandrea@yahoo.com,ua8Eq1ca,Male,628.291.2145,"['No Pets', 'Public Traffic', 'No Smoking', 'Public Traffic', 'Cats OK']"
Joseph Stone,rcooper@harris-webb.com,wAA4tgIA,Female,(449)379-6716x290,"['Wheelchair Access', 'No Smoking', 'Dogs Ok']"
Brandi Flores,hmaldonado@davis.com,50wR9PPh,Female,001-004-669-6436x79510,"['Wheelchair Access', 'Public Traffic', 'Public Traffic', 'Laundry', 'Laundry']"
Brian Ward,rrobinson@yahoo.com,pNtVFJ4D,Male,+1-786-855-0598x49488,"['Quiet', 'No Pets', 'Furnished', 'Wheelchair Access']"
Angela Lane,johnsonmckenzie@yahoo.com,UPqktPkE,Male,512-082-0757x809,"['Furnished', 'Parking', 'No Smoking', 'Furnished']"
Elizabeth Smith,vanderson@doyle-flores.info,X8K9SmOn,Female,(265)683-8163x77962,"['Furnished', 'Cats OK', 'Laundry', 'No Smoking', 'Cats OK', 'Dogs Ok']"
Kaylee Gonzales,karmstrong@yahoo.com,2xpveawZ,Male,880-330-9311x868,"['Cats OK', 'Cats OK']"
Charlene Hawkins,codyjames@gmail.com,gV1yf92G,Female,399-570-4788x14305,"['Dogs Ok', 'Dogs Ok', 'Quiet', 'Wheelchair Access']"
Johnny Dyer,velasquezchelsea@yahoo.com,ajIYHCu3,Female,+1-099-546-4288x271,"['No Smoking', 'Furnished', 'Dogs Ok', 'Wheelchair Access']"
Jeanette Khan,tony17@gmail.com,1sC780kd,Male,(583)873-4902x230,['Wheelchair Access']
Brandon Allen,shane87@fry.com,AOFpd25B,Female,(752)917-6578,['No Smoking']
Earl Collins,samanthaleonard@soto.biz,xBcC5AjO,Female,+1-466-161-2276x20511,"['No Smoking', 'Quiet', 'Wheelchair Access']"
Taylor Dixon,walterstimothy@hotmail.com,TNoVLwvL,Male,001-718-310-8545x7469,"['Wheelchair Access', 'No Pets', 'Dogs Ok', 'Wheelchair Access', 'Furnished', 'Public Traffic']"
Nancy Soto,petersonlaura@gmail.com,JyOwZgXf,Male,+1-983-806-6287x572,"['Furnished', 'Cats OK']"
Jordan Carney,sharris@hotmail.com,Gh4nwksy,Male,001-381-011-6352x1575,"['Dogs Ok', 'Laundry']"
Michael Davis,patriciajenkins@gmail.com,r0Ga2wCN,Female,7567277051,"['Wheelchair Access', 'Cats OK']"
Ann Decker,angelabutler@salinas.com,UYc8rsYa,Male,308.322.0135x03784,"['Wheelchair Access', 'Parking']"
Devin Crawford,edward92@yahoo.com,T1vIOevM,Female,+1-991-612-9225,"['No Smoking', 'Parking', 'Public Traffic', 'Wheelchair Access', 'Cats OK']"
Michael Kline,perezjenna@yahoo.com,ObyrHkyi,Female,413.052.2876x898,"['Wheelchair Access', 'Dogs Ok', 'No Smoking', 'Dogs Ok', 'Furnished', 'Quiet']"
Andrea Reyes,trevor85@yahoo.com,VRQoqS9E,Female,236.718.0529x183,"['Quiet', 'Laundry', 'No Pets']"
Timothy Barnes,maryhernandez@yahoo.com,4NXU4nOI,Male,3453453661,"['No Smoking', 'Furnished', 'Furnished', 'Parking', 'Parking', 'Public Traffic']"
Hannah Hicks,chapmanmichael@yahoo.com,vk9RcIK8,Female,+1-458-675-1380x87819,"['Public Traffic', 'Parking', 'Parking', 'Cats OK', 'No Smoking', 'Wheelchair Access']"
Shelby Parker,fbryant@torres-davis.info,CTx9TWxX,Male,001-230-814-0722x96136,"['Laundry', 'No Pets', 'No Pets', 'Wheelchair Access']"
Kylie Abbott,roberthayes@gmail.com,HE5iVohh,Male,+1-463-155-9048,"['No Pets', 'No Smoking']"
Tiffany Osborn,xmcgee@henry.com,6monZ0ue,Female,+1-619-535-9322x6082,"['Quiet', 'Quiet', 'Furnished', 'Laundry', 'Cats OK', 'Parking']"
James Walker,vlee@yahoo.com,LC4MXtt4,Female,276-841-5889,"['Parking', 'Quiet', 'Public Traffic', 'No Smoking', 'Laundry', 'Quiet']"
Angela Cole,valerie14@wade.com,SCPDCkce,Male,716.446.6190,"['Cats OK', 'No Smoking']"
David Newton,stephensadam@yahoo.com,0nxK6Vwl,Male,001-594-932-9177,"['Quiet', 'No Smoking', 'Wheelchair Access']"
Christian James MD,doliver@wilkinson-stevens.info,SJ7V6Qe1,Female,970-239-7306,"['Parking', 'No Pets', 'Laundry', 'Dogs Ok']"
Matthew Cooper,mitchellscott@gmail.com,wLWW0qPX,Male,862-165-0162x9307,['Cats OK']
Natalie Price,hgonzalez@gmail.com,okvqQERs,Male,(541)098-2298x53361,"['Furnished', 'Dogs Ok', 'Dogs Ok', 'Cats OK', 'Public Traffic']"
Angela Price,catherinemartinez@hotmail.com,ePPM2gzo,Female,(174)968-7102x775,"['Laundry', 'Laundry', 'Laundry', 'No Pets', 'Wheelchair Access', 'Parking']"
